Operating Day,Operating Hour,Price
1/1/23,1,-2.56
1/1/23,2,-1.49
1/1/23,3,-1.01
1/1/23,4,-0.06
1/1/23,5,0
1/1/23,6,-1.55
1/1/23,7,2.57
1/1/23,8,12.52
1/1/23,9,23.79
1/1/23,10,11.05
1/1/23,11,20.23
1/1/23,12,22.01
1/1/23,13,13.32
1/1/23,14,21.94
1/1/23,15,41.47
1/1/23,16,24.23
1/1/23,17,45.82
1/1/23,18,37.03
1/1/23,19,26.62
1/1/23,20,8.28
1/1/23,21,7.9
1/1/23,22,10.84
1/1/23,23,2.42
1/1/23,24,-1.48
1/2/23,1,-2.59
1/2/23,2,-5.46
1/2/23,3,-26.01
1/2/23,4,-30.75
1/2/23,5,-30.56
1/2/23,6,-10.27
1/2/23,7,-2.2
1/2/23,8,1.53
1/2/23,9,10.69
1/2/23,10,23.78
1/2/23,11,19.86
1/2/23,12,19.09
1/2/23,13,10.17
1/2/23,14,14.79
1/2/23,15,17.57
1/2/23,16,24.13
1/2/23,17,16.64
1/2/23,18,31.36
1/2/23,19,61.39
1/2/23,20,47.94
1/2/23,21,36.99
1/2/23,22,31.46
1/2/23,23,19.09
1/2/23,24,12.37
1/3/23,1,2.76
1/3/23,2,1.46
1/3/23,3,-2.33
1/3/23,4,-1.18
1/3/23,5,0.57
1/3/23,6,2.63
1/3/23,7,12.04
1/3/23,8,20.99
1/3/23,9,17.17
1/3/23,10,50.53
1/3/23,11,24.91
1/3/23,12,17.07
1/3/23,13,39.5
1/3/23,14,24.79
1/3/23,15,19.18
1/3/23,16,21.87
1/3/23,17,13.55
1/3/23,18,31.92
1/3/23,19,34.49
1/3/23,20,28.44
1/3/23,21,23.69
1/3/23,22,16.46
1/3/23,23,19.39
1/3/23,24,17.64
1/4/23,1,21.26
1/4/23,2,18.33
1/4/23,3,16.82
1/4/23,4,17.49
1/4/23,5,18.36
1/4/23,6,24.56
1/4/23,7,36.84
1/4/23,8,53.56
1/4/23,9,29.05
1/4/23,10,18.8
1/4/23,11,16.32
1/4/23,12,12.95
1/4/23,13,15.01
1/4/23,14,14.57
1/4/23,15,0.44
1/4/23,16,3.14
1/4/23,17,9.73
1/4/23,18,20.67
1/4/23,19,39.89
1/4/23,20,30.77
1/4/23,21,28.12
1/4/23,22,25.92
1/4/23,23,24.55
1/4/23,24,21.31
1/5/23,1,26.26
1/5/23,2,26.29
1/5/23,3,29.52
1/5/23,4,28.83
1/5/23,5,30.1
1/5/23,6,28.64
1/5/23,7,40.83
1/5/23,8,54.46
1/5/23,9,41.24
1/5/23,10,30.29
1/5/23,11,32.03
1/5/23,12,29.18
1/5/23,13,25.82
1/5/23,14,26.63
1/5/23,15,23.81
1/5/23,16,21.96
1/5/23,17,23.95
1/5/23,18,52.11
1/5/23,19,42.38
1/5/23,20,33.49
1/5/23,21,32.91
1/5/23,22,19.22
1/5/23,23,18.07
1/5/23,24,17.67
1/6/23,1,13.1
1/6/23,2,8.84
1/6/23,3,1.37
1/6/23,4,14.19
1/6/23,5,16.24
1/6/23,6,16.96
1/6/23,7,25.02
1/6/23,8,31.4
1/6/23,9,18.44
1/6/23,10,18.69
1/6/23,11,9.19
1/6/23,12,7.16
1/6/23,13,3.25
1/6/23,14,0.05
1/6/23,15,-0.02
1/6/23,16,0.09
1/6/23,17,10.52
1/6/23,18,25.06
1/6/23,19,31.61
1/6/23,20,30.75
1/6/23,21,17.63
1/6/23,22,15.57
1/6/23,23,10.72
1/6/23,24,16.51
1/7/23,1,21.02
1/7/23,2,17.55
1/7/23,3,13.89
1/7/23,4,15.27
1/7/23,5,15.42
1/7/23,6,16.6
1/7/23,7,15.45
1/7/23,8,16.34
1/7/23,9,18.64
1/7/23,10,14.73
1/7/23,11,17.49
1/7/23,12,16.62
1/7/23,13,19.16
1/7/23,14,21.57
1/7/23,15,22.93
1/7/23,16,21.95
1/7/23,17,24.83
1/7/23,18,40.28
1/7/23,19,37.19
1/7/23,20,34.81
1/7/23,21,35.49
1/7/23,22,33.26
1/7/23,23,28.93
1/7/23,24,29.32
1/8/23,1,26.62
1/8/23,2,25.39
1/8/23,3,25.02
1/8/23,4,21.61
1/8/23,5,20.24
1/8/23,6,18.58
1/8/23,7,23.01
1/8/23,8,25.36
1/8/23,9,30.99
1/8/23,10,16.98
1/8/23,11,18.23
1/8/23,12,18.71
1/8/23,13,18.83
1/8/23,14,15.98
1/8/23,15,17.43
1/8/23,16,16.26
1/8/23,17,16.5
1/8/23,18,32.58
1/8/23,19,30.58
1/8/23,20,20.38
1/8/23,21,15.94
1/8/23,22,15.53
1/8/23,23,6.74
1/8/23,24,-0.47
1/9/23,1,-0.84
1/9/23,2,-0.47
1/9/23,3,0
1/9/23,4,7.37
1/9/23,5,13.56
1/9/23,6,13.38
1/9/23,7,18.71
