Operating Day,Operating Hour,Regulation Up,Regulation Down
1/1/23,1,1.95,4.69
1/1/23,2,1.1,1.49
1/1/23,3,1.95,1.49
1/1/23,4,1.95,2.49
1/1/23,5,1.99,1.49
1/1/23,6,3.29,8.79
1/1/23,7,3.29,3.29
1/1/23,8,2.69,2.69
1/1/23,9,3,18.69
1/1/23,10,4.8,7.5
1/1/23,11,3.29,7.01
1/1/23,12,2.45,5.46
1/1/23,13,2.29,5.3
1/1/23,14,2.1,4.69
1/1/23,15,2.68,5.69
1/1/23,16,3.03,5.69
1/1/23,17,6.74,7.01
1/1/23,18,13.36,10.15
1/1/23,19,3.29,3.35
1/1/23,20,2.45,1.78
1/1/23,21,2.45,1.97
1/1/23,22,1,3.49
1/1/23,23,1.45,6.89
1/1/23,24,1.43,4.49
1/2/23,1,1.99,2.98
1/2/23,2,1.77,1.49
1/2/23,3,1.97,1.49
1/2/23,4,1.99,2.49
1/2/23,5,2.1,1.49
1/2/23,6,3.75,7.01
1/2/23,7,3.69,5.01
1/2/23,8,3.3,3.3
1/2/23,9,3,18.69
1/2/23,10,6.43,7.69
1/2/23,11,3.69,7.5
1/2/23,12,3.29,6.3
1/2/23,13,3.19,5.69
1/2/23,14,2.29,5.3
1/2/23,15,3.29,7
1/2/23,16,2.8,7.5
1/2/23,17,5.98,7.98
1/2/23,18,10.4,8.89
1/2/23,19,2.29,5.01
1/2/23,20,2.45,3.2
1/2/23,21,2.45,3.5
1/2/23,22,1.48,3.5
1/2/23,23,1,5.01
1/2/23,24,1,4.49
1/3/23,1,2,2.98
1/3/23,2,1.05,1.49
1/3/23,3,1.97,1.49
1/3/23,4,1.99,2.49
1/3/23,5,3.89,1.91
1/3/23,6,4.69,4.49
1/3/23,7,4.69,4.69
1/3/23,8,3.69,3.69
1/3/23,9,3,18.25
1/3/23,10,3.29,7.5
1/3/23,11,2.29,7.01
1/3/23,12,1.95,6.03
1/3/23,13,2.25,4.75
1/3/23,14,1.95,3.96
1/3/23,15,2.29,4.79
1/3/23,16,3.19,4.69
1/3/23,17,4.98,5.49
1/3/23,18,22.36,10.39
1/3/23,19,5.02,3.04
1/3/23,20,2.5,1.94
1/3/23,21,4,2.02
1/3/23,22,1.99,3.17
1/3/23,23,1.8,4.49
1/3/23,24,1,3.49
1/4/23,1,2,2.98
1/4/23,2,2,1.52
1/4/23,3,2,1.52
1/4/23,4,2,2.49
1/4/23,5,4,2.02
1/4/23,6,4.69,5.69
1/4/23,7,7.3,5.69
1/4/23,8,4.69,4.69
1/4/23,9,3.29,29.49
1/4/23,10,3.29,7.5
1/4/23,11,2.35,7.5
1/4/23,12,2.29,5.69
1/4/23,13,2.25,4.75
1/4/23,14,1.95,3.69
1/4/23,15,2.1,5
1/4/23,16,2.39,5.69
1/4/23,17,12.49,7.69
1/4/23,18,37.39,3.97
1/4/23,19,5,2.71
1/4/23,20,3.29,1.93
1/4/23,21,4.04,2.06
1/4/23,22,1.99,1.98
1/4/23,23,1.89,2.49
1/4/23,24,1.45,3.49
1/5/23,1,2.15,1.99
1/5/23,2,1.85,1.49
1/5/23,3,2,1.49
1/5/23,4,1.94,1.49
1/5/23,5,2.39,1.02
1/5/23,6,5.51,1.49
1/5/23,7,26.95,3.37
1/5/23,8,15.26,1.76
1/5/23,9,7.44,10.44
1/5/23,10,2.29,2.29
1/5/23,11,2.03,1.98
1/5/23,12,1.95,2.49
1/5/23,13,1.99,2.49
1/5/23,14,1.95,2.49
