,gen_hour,charge_hour,reg_up_hour,reg_down_hour,state_of_charge
2023-01-01 00:00:00,0.0,0.0,0.0,100.0,0.0
2023-01-01 01:00:00,0.0,0.0,8.1,100.0,9.0
2023-01-01 02:00:00,0.0,0.0,15.39,100.0,17.1
2023-01-01 03:00:00,0.0,0.0,21.95,96.36,24.39
2023-01-01 04:00:00,0.0,0.0,27.56,0.0,30.62
2023-01-01 05:00:00,0.0,0.0,24.8,92.83,27.56
2023-01-01 06:00:00,0.0,0.0,29.84,86.61,33.16
2023-01-01 07:00:00,20.11,0.0,13.76,81.64,37.64
2023-01-01 08:00:00,6.89,0.0,12.11,100.0,21.11
2023-01-01 09:00:00,0.0,0.0,19.0,100.0,21.11
2023-01-01 10:00:00,0.0,0.0,25.2,92.35,28.0
2023-01-01 11:00:00,0.0,0.0,30.16,86.22,33.51
2023-01-01 12:00:00,0.0,0.0,34.13,81.32,37.92
2023-01-01 13:00:00,0.0,0.0,37.3,77.4,41.45
2023-01-01 14:00:00,28.7,0.0,11.14,74.27,44.27
2023-01-01 15:00:00,0.0,0.0,16.04,100.0,17.83
2023-01-01 16:00:00,10.04,0.0,12.5,95.63,25.04
2023-01-01 17:00:00,0.0,0.0,19.0,100.0,21.11
2023-01-01 18:00:00,25.2,0.0,0.0,92.35,28.0
2023-01-01 19:00:00,0.0,0.0,7.48,100.0,8.31
2023-01-01 20:00:00,0.0,0.0,14.83,100.0,16.48
2023-01-01 21:00:00,9.07,0.0,12.38,96.98,23.83
2023-01-01 22:00:00,0.0,0.0,19.0,100.0,21.11
2023-01-01 23:00:00,0.0,0.0,25.2,92.35,28.0
2023-01-02 00:00:00,0.0,0.0,30.16,86.22,33.51
2023-01-02 01:00:00,0.0,0.0,34.13,0.0,37.92
2023-01-02 02:00:00,0.0,0.0,30.72,0.0,34.13
2023-01-02 03:00:00,0.0,89.33,27.64,0.0,30.72
2023-01-02 04:00:00,0.0,3.41,97.24,0.0,108.04
2023-01-02 05:00:00,0.0,0.0,90.28,12.0,100.31
2023-01-02 06:00:00,0.0,0.0,82.22,21.95,91.36
2023-01-02 07:00:00,0.0,0.0,75.78,29.91,84.2
2023-01-02 08:00:00,0.0,0.0,70.62,36.27,78.47
2023-01-02 09:00:00,37.12,0.0,29.38,41.36,73.89
2023-01-02 10:00:00,0.0,0.0,29.79,86.68,33.1
2023-01-02 11:00:00,0.0,0.0,33.83,81.69,37.59
2023-01-02 12:00:00,0.0,0.0,37.07,77.7,41.19
2023-01-02 13:00:00,0.0,0.0,39.65,74.5,44.06
2023-01-02 14:00:00,0.0,0.0,41.72,71.95,46.36
2023-01-02 15:00:00,0.0,0.0,43.38,69.9,48.2
2023-01-02 16:00:00,0.0,0.0,44.7,68.27,49.67
2023-01-02 17:00:00,0.0,0.0,45.76,66.96,50.85
2023-01-02 18:00:00,46.61,0.0,0.0,65.91,51.79
2023-01-02 19:00:00,5.34,0.0,0.0,100.0,5.93
2023-01-02 20:00:00,0.0,0.0,8.1,100.0,9.0
2023-01-02 21:00:00,10.93,0.0,4.46,100.0,17.1
2023-01-02 22:00:00,0.0,0.0,12.11,100.0,13.46
2023-01-02 23:00:00,0.0,0.0,19.0,100.0,21.11
2023-01-03 00:00:00,0.0,0.0,25.2,92.35,28.0
2023-01-03 01:00:00,0.0,0.0,30.16,86.22,33.51
2023-01-03 02:00:00,0.0,0.0,34.13,81.32,37.92
2023-01-03 03:00:00,0.0,0.0,37.3,77.4,41.45
2023-01-03 04:00:00,0.0,0.0,39.84,74.27,44.27
2023-01-03 05:00:00,0.0,0.0,41.87,71.76,46.53
2023-01-03 06:00:00,0.0,0.0,43.5,69.75,48.33
2023-01-03 07:00:00,29.82,0.0,14.98,68.15,49.78
2023-01-03 08:00:00,0.0,0.0,19.0,100.0,21.11
2023-01-03 09:00:00,25.2,0.0,0.0,92.35,28.0
2023-01-03 10:00:00,0.0,0.0,7.48,100.0,8.31
2023-01-03 11:00:00,0.0,0.0,14.83,100.0,16.48
2023-01-03 12:00:00,16.72,0.0,4.73,96.98,23.83
2023-01-03 13:00:00,0.0,0.0,12.11,100.0,13.46
2023-01-03 14:00:00,0.0,0.0,19.0,100.0,21.11
2023-01-03 15:00:00,0.0,0.0,25.2,92.35,28.0
2023-01-03 16:00:00,0.0,0.0,30.16,86.22,33.51
2023-01-03 17:00:00,0.0,0.0,34.13,81.32,37.92
2023-01-03 18:00:00,23.16,0.0,14.14,77.4,41.45
2023-01-03 19:00:00,5.1,0.0,13.9,100.0,21.11
2023-01-03 20:00:00,0.0,0.0,20.61,98.01,22.9
2023-01-03 21:00:00,0.0,0.0,26.49,90.76,29.43
2023-01-03 22:00:00,0.0,0.0,31.19,84.95,34.66
2023-01-03 23:00:00,0.0,0.0,34.95,80.31,38.84
2023-01-04 00:00:00,0.0,0.0,37.96,76.59,42.18
2023-01-04 01:00:00,0.0,0.0,40.37,73.62,44.85
2023-01-04 02:00:00,0.0,0.0,42.3,71.24,46.99
2023-01-04 03:00:00,0.0,0.0,43.84,69.34,48.71
2023-01-04 04:00:00,0.0,0.0,45.07,67.82,50.08
2023-01-04 05:00:00,0.0,0.0,46.06,66.6,51.17
2023-01-04 06:00:00,0.0,0.0,46.84,65.62,52.05
2023-01-04 07:00:00,47.48,0.0,0.0,64.85,52.75
2023-01-04 08:00:00,0.8,0.0,4.46,100.0,5.84
2023-01-04 09:00:00,0.0,0.0,12.11,100.0,13.46
2023-01-04 10:00:00,0.0,0.0,19.0,100.0,21.11
2023-01-04 11:00:00,0.0,0.0,25.2,92.35,28.0
2023-01-04 12:00:00,0.0,0.0,30.16,86.22,33.51
2023-01-04 13:00:00,0.0,0.0,34.13,81.32,37.92
2023-01-04 14:00:00,0.0,0.0,37.3,77.4,41.45
2023-01-04 15:00:00,0.0,74.27,39.84,0.0,44.27
2023-01-04 16:00:00,0.0,4.92,96.02,0.0,106.68
2023-01-04 17:00:00,0.0,0.0,90.4,11.85,100.44
2023-01-04 18:00:00,51.73,0.0,30.59,21.83,91.47
2023-01-04 19:00:00,0.0,0.0,29.3,87.29,32.55
2023-01-04 20:00:00,0.0,0.0,33.44,82.17,37.15
2023-01-04 21:00:00,0.0,0.0,36.75,78.08,40.83
2023-01-04 22:00:00,0.0,0.0,39.4,74.81,43.78
2023-01-04 23:00:00,0.0,0.0,41.52,72.2,46.13
2023-01-05 00:00:00,0.0,0.0,43.22,70.1,48.02
2023-01-05 01:00:00,0.0,0.0,44.57,68.43,49.53
2023-01-05 02:00:00,0.0,0.0,45.66,67.09,50.73
2023-01-05 03:00:00,0.0,0.0,46.53,66.02,51.7
2023-01-05 04:00:00,0.0,0.0,47.22,65.16,52.47
2023-01-05 05:00:00,0.0,0.0,47.78,64.47,53.09
2023-01-05 06:00:00,0.0,0.0,48.22,63.92,53.58
2023-01-05 07:00:00,33.18,0.0,15.4,63.48,53.97
2023-01-05 08:00:00,6.89,0.0,12.11,100.0,21.11
2023-01-05 09:00:00,0.0,0.0,19.0,100.0,21.11
2023-01-05 10:00:00,8.4,0.0,16.8,92.35,28.0
2023-01-05 11:00:00,0.0,0.0,22.6,95.55,25.11
2023-01-05 12:00:00,0.0,0.0,28.08,88.79,31.2
2023-01-05 13:00:00,0.0,0.0,32.47,83.38,36.07
2023-01-05 14:00:00,0.0,0.0,35.97,79.05,39.97
2023-01-05 15:00:00,0.0,0.0,38.78,75.58,43.09
2023-01-05 16:00:00,0.0,0.0,41.02,72.81,45.58
2023-01-05 17:00:00,0.0,0.0,42.82,70.59,47.58
2023-01-05 18:00:00,36.99,0.0,7.26,68.82,49.17
2023-01-05 19:00:00,0.0,0.0,12.11,100.0,13.46
2023-01-05 20:00:00,14.54,0.0,4.46,100.0,21.11
2023-01-05 21:00:00,0.0,0.0,12.11,100.0,13.46
